rank,name,confed,off,def,spi
142,Palestine,AFC,0.77,1.47,28.47
143,Kyrgyzstan,AFC,0.85,1.62,28.08
144,Faroe Islands,UEFA,0.86,1.65,27.7
145,Niger,CAF,0.82,1.64,26.95
146,Turkmenistan,AFC,0.87,1.73,26.68
147,Chad,CAF,0.85,1.71,26.54
148,Fiji,OFC,0.67,1.45,26.35
149,Martinique,CONCACAF,0.94,1.85,26.34
150,Guyana,CONCACAF,1.13,2.22,25.06
151,Belize,CONCACAF,0.79,1.73,24.84
152,Suriname,CONCACAF,0.76,1.71,24.52
153,Antigua and Barbuda,CONCACAF,1.09,2.2,24.48
154,South Sudan,CAF,0.73,1.74,23.16
155,Solomon Islands,OFC,0.69,1.71,22.71
156,Zanzibar,CAF,0.49,1.47,21.39
157,New Caledonia,OFC,0.69,1.85,20.92
158,Malaysia,AFC,0.76,1.98,20.71
159,Malta,UEFA,0.7,1.88,20.58
160,Barbados,CONCACAF,0.54,1.61,20.53
161,Dominica,CONCACAF,0.55,1.65,20.29
162,Swaziland,CAF,0.56,1.67,20.28
163,Puerto Rico,CONCACAF,0.74,2.0,19.89
164,Eritrea,CAF,0.79,2.1,19.77
165,Tahiti,OFC,0.81,2.15,19.56
166,Philippines,AFC,0.72,2.02,19.31
167,Tajikistan,AFC,0.72,2.12,17.98
168,India,AFC,0.54,1.82,17.9
169,Singapore,AFC,0.65,2.05,17.47
170,Sao Tome and Principe,CAF,0.79,2.38,16.48
171,St. Vincent and the Grenadines,CONCACAF,0.7,2.23,16.4
172,Hong Kong,AFC,0.34,1.57,16.04
173,Grenada,CONCACAF,0.68,2.22,16.04
174,Vanuatu,OFC,0.64,2.17,15.99
175,Mauritius,CAF,0.7,2.31,15.5
176,St. Lucia,CONCACAF,0.64,2.24,15.12
177,Yemen,AFC,0.51,2.09,14.29
178,Liechtenstein,UEFA,0.6,2.27,14.03
179,Gibraltar,UEFA,0.49,2.08,13.79
180,Afghanistan,AFC,0.53,2.46,11.07
181,Aruba,CONCACAF,0.64,2.76,10.68
182,Djibouti,CAF,0.64,2.85,10.03
183,Indonesia,AFC,0.62,2.83,9.93
184,Myanmar,AFC,0.57,2.71,9.91
185,Andorra,UEFA,0.28,2.09,9.71
186,Montserrat,CONCACAF,0.81,3.24,9.65
187,Cayman Islands,CONCACAF,0.4,2.41,9.43
188,Papua New Guinea,OFC,0.6,2.88,9.16
189,Somalia,CAF,0.55,2.8,8.97
190,Bahamas,CONCACAF,0.73,3.44,7.5
191,Bangladesh,AFC,0.25,2.38,7.2
192,Seychelles,CAF,0.41,2.8,7.04
193,Maldives,AFC,0.41,2.81,7.01
194,French Guiana,CONCACAF,0.52,3.18,6.57
195,Nepal,AFC,0.21,2.47,6.12
196,Mongolia,AFC,0.25,2.72,5.41
197,Chinese Taipei,AFC,0.45,3.48,4.58
198,San Marino,UEFA,0.24,2.9,4.55
199,British Virgin Islands,CONCACAF,0.42,3.62,3.88
200,Bonaire,CONCACAF,0.37,3.59,3.5
201,Cambodia,AFC,0.28,3.35,3.44
202,Turks and Caicos Islands,CONCACAF,0.68,4.76,2.75
203,Guam,AFC,0.51,4.42,2.48
204,Guadeloupe,CONCACAF,0.2,3.49,2.47
205,Anguilla,CONCACAF,0.35,4.08,2.29
206,Brunei,AFC,0.21,3.71,2.13
207,US Virgin Islands,CONCACAF,0.38,4.38,1.93
208,Sri Lanka,AFC,0.2,3.81,1.87
209,Pakistan,AFC,0.2,3.92,1.71
210,Laos,AFC,0.21,4.11,1.48
211,Bhutan,AFC,0.22,4.62,0.98
212,St. Martin,CONCACAF,0.23,4.89,0.81
213,Sint Maarten,CONCACAF,0.21,4.93,0.74
214,Tuvalu,OFC,0.38,5.62,0.7
215,Timor-Leste,AFC,0.33,5.56,0.64
216,Macau,AFC,0.2,5.11,0.6
217,Samoa,OFC,0.2,5.78,0.34
218,Tonga,OFC,0.2,6.08,0.26
